,noms
1346,1
1347,1
1348,1
1349,1
1350,1
1352,11
1357,3
1358,3
1359,1
1360,3
1361,2
1362,1
1363,1
1365,1
1366,3
1373,1
1374,2
1375,1
1376,3
1377,1
1378,1
1379,2
1381,3
1382,1
1384,1
1385,1
1386,1
1389,1
1390,1
1391,3
1392,3
1402,1
1403,1
1404,1
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1418,1
1421,1
1423,2
1428,1
1430,1
1433,1
1434,2
1436,3
1438,3
1445,1
1446,2
1456,8
1457,9
1458,4
1459,7
1460,5
1461,12
1462,6
1463,3
1466,6
1468,1
1470,12
1472,4
1473,9
1475,4
1476,3
1477,1
1479,1
1480,6
1483,1
1484,4
1485,3
1486,3
1487,4
1489,1
1498,3
1499,2
1500,1
1503,8
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,1
1534,1
1535,1
1536,1
1537,4
1542,1
1544,1
1545,1
1547,2
1548,1
1549,2
1550,1
1551,1
1552,1
1554,1
1557,1
1558,1
1559,2
1560,4
1561,3
1562,2
1563,2
1564,2
1565,2
1566,3
1569,1
1572,1
1574,1
1577,2
1582,2
1585,1
1588,1
1589,1
1590,1
1591,1
1592,1
1593,1
1594,1
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,1
1602,1
1608,1
1611,1
1614,1
1616,1
1617,1
1620,1
1621,1
1622,1
1623,5
1625,1
1629,1
1632,1
1638,7
1639,10
1640,10
1641,4
1642,10
1643,1
1645,2
1646,5
1647,9
1648,7
1651,2
1652,7
1653,4
1656,2
1658,2
1659,3
1660,3
1663,1
1665,3
1666,1
1667,1
1668,5
1669,1
1670,4
1671,3
1672,2
1673,10
1678,5
1679,3
1681,2
1682,1
1683,1
1685,1
1688,4
1695,1
1696,1
1697,1
1698,1
1699,1
1701,1
1707,1
1709,1
1711,1
1712,1
1713,2
1714,1
1718,9
1719,1
1720,1
1721,1
1722,2
1724,1
1725,3
1726,5
1727,2
1728,3
1729,1
1730,1
1732,2
1734,1
1735,2
1736,1
1738,2
1740,1
1741,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1775,1
1779,1
1783,1
1784,1
1786,1
1787,2
1790,1
1792,1
1793,1
1794,1
1795,1
1796,1
1798,1
1807,8
1808,5
1809,7
1810,4
1811,6
1812,6
1813,2
1814,2
1815,4
1816,2
1818,6
1819,2
1820,4
1821,4
1822,6
1824,3
1826,5
1827,1
1828,1
1832,1
1834,5
1835,2
1836,2
1838,7
1840,3
1843,4
1846,1
1850,3
1852,1
1853,1
1854,1
1855,1
1856,1
1860,3
1863,1
1864,1
1865,1
1866,2
1867,1
1869,1
1870,1
1874,1
1876,1
1879,6
1880,1
1882,1
1883,5
1884,2
1885,2
1886,1
1887,1
1888,2
1889,2
1890,1
1891,2
1892,2
1893,2
1894,4
1895,1
1899,1
1901,1
1902,2
1914,1
1915,1
1916,1
1917,1
1918,1
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,1
1927,1
1928,1
1929,1
1930,1
1931,8
1933,1
1938,2
1940,1
1941,1
1943,1
1947,4
1948,1
1949,1
1953,1
1954,1
1955,1
1956,1
1957,1
1961,1
1962,2
1967,8
1968,4
1969,6
1970,7
1971,5
1972,2
1974,2
1976,4
1977,2
1978,3
1979,2
1980,1
1982,1
1983,4
1985,1
1986,5
1987,5
1988,1
1990,1
1992,7
2000,4
2002,1
2003,1
2004,1
2005,1
2006,1
2015,1
2017,2
2018,2
2019,2
2020,6
2021,1
2023,1
2024,1
2025,2
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,8
2049,1
2050,1
2051,1
2052,1
2053,1
2054,2
2055,1
2056,1
2057,1
2059,1
2060,1
2065,1
2071,4
2072,3
2073,8
2074,4
2075,2
2076,2
2077,1
2078,4
2079,5
2080,2
2081,1
2082,2
2085,2
2086,1
2088,8
2089,1
2091,1
2092,5
2093,2
2095,1
2097,4
2100,3
2101,5
2103,4
2105,5
2106,1
2107,1
2108,1
2109,1
2110,1
2111,1
2113,3
2116,1
2118,1
2120,1
2122,1
2123,3
2124,1
2125,1
2126,2
2127,1
2128,1
2129,1
2131,2
2136,4
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,1
2151,1
2152,5
2154,1
2155,4
2156,1
2157,1
2158,1
2162,1
2165,1
2166,1
2167,1
2176,12
2177,4
2178,2
2179,7
2180,1
2182,7
2183,5
2184,4
2185,1
2187,6
2189,1
2190,12
2194,7
2195,1
2199,5
2200,2
2203,3
2204,2
2205,1
2206,7
2207,1
2208,1
2209,1
2211,2
2218,1
2219,1
2220,1
2221,1
2222,1
2226,2
2227,5
2233,1
2235,1
2236,2
2238,1
2239,1
2241,1
2242,1
2247,4
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2264,1
2265,6
2266,1
2267,2
2268,1
2269,3
2272,4
2285,7
2286,6
2287,4
2288,1
2289,4
2290,7
2291,4
2293,8
2294,6
2295,3
2296,8
2297,2
2298,1
2299,7
2307,1
2308,2
2309,2
2310,1
2311,6
2315,2
2316,1
2317,3
2318,2
2319,1
2320,1
2323,2
2324,1
2327,2
2329,3
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2338,6
2340,1
2341,1
2345,1
2346,1
2347,1
2348,1
2349,1
2355,3
2357,1
2358,1
2359,1
2360,1
2361,1
2362,1
2363,1
2364,1
2365,1
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2372,1
2375,1
2376,1
2378,1
2380,1
2381,1
2383,1
2389,1
2390,1
2391,1
2397,2
2398,1
2399,11
2400,2
2401,3
2402,3
2403,1
2404,4
2405,14
2407,14
2409,5
2410,3
2414,2
2418,1
2419,11
2420,4
2421,2
2422,5
2425,1
2427,3
2430,2
2431,3
2432,5
2434,5
2436,1
2438,1
2443,3
2444,1
2445,1
2446,1
2447,1
2448,1
2456,1
2459,4
2460,3
2461,1
2462,1
2463,1
2464,1
2466,1
2467,1
2468,1
2472,3
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,1
2485,1
2486,1
2487,1
2488,2
2490,1
2491,1
2492,1
2493,1
2494,1
2500,1
2502,1
2503,1
2509,4
2510,12
2511,9
2512,2
2513,5
2514,8
2516,12
2518,1
2519,4
2521,4
2523,2
2528,1
2529,1
2530,1
2531,2
2533,1
2534,8
2535,5
2536,2
2538,2
2540,2
2541,9
2542,1
2547,2
2548,2
2549,1
2550,1
2551,1
2556,3
2560,8
2564,1
2565,1
2566,1
2567,1
2568,1
2570,2
2573,2
2579,1
2584,2
2585,1
2586,1
2587,1
2588,1
2594,1
2595,1
2596,1
2597,1
2598,1
2599,1
2600,1
2601,1
2602,1
2604,3
2605,1
2607,1
2608,2
