director,director,director,director,director,director,producer,producer,producer,producer,producer,producer,cast,cast,cast,cast,cast,cast,writer,writer,writer,writer,writer,writer,music,music,music,music,music,music,cinematography,cinematography,cinematography,cinematography,cinematography,cinematography,editing,editing,editing,editing,editing,editing,major,time,budget,box_office,profit,title,nom
o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,2000000.0,9000000.0,7000000.0,Wizards,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96.0,,,,Scott Joplin,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,,,,Ceddo,0
0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,6,1,3,0,0,1,11,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,143.0,8000000.0,15800000.0,7800000.0,Black Sunday,0
0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,,,,Madame Rosa,1
0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,,,,An Average Little Man (Un borghese piccolo piccolo),0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,,,,The King of the Street Cleaners,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,,,,Chinatown Kid,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,,,,Padre Padrone,0
0,0,0,0,0,0,0,0,0,0,0,0,8,5,15,2,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,85.0,4000000.0,,,The Last Remake of Beau Geste,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,,,,Rock'n'Roll Wolf,0
3,2,4,0,0,0,0,0,0,0,0,0,5,2,9,0,0,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0,,,,Opening Night,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112.0,3200000.0,33500000.0,30300000.0,Heroes,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,,,J.A. Martin Photographer,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Plae Kao (The Scar),0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,3000000.0,3200000.0,200000.0,I Never Promised You a Rose Garden,1
0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,1,2,1,0,0,0,0,0,0,4,0,5,2,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,104.0,8000000.0,3243088.0,-4756912.0,March or Die,0
0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110.0,,102000000.0,,The Goodbye Girl,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.0,,,,The Bad News Bears in Breaking Training,0
2,1,2,1,0,2,2,1,2,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121.0,21000000.0,5900000.0,-15100000.0,Sorcerer,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,95.0,5000000.0,,,Rolling Thunder,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,,,,The Wishing Tree,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,,,,Black Joy,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106.0,,,,Wifemistress,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105.0,,,,Jabberwocky,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,,,,Dot and the Kangaroo,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,,7000000.0,,Eraserhead,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,,,,That's Carry On!,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105.0,,,,Fraternity Row,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,,,Short Eyes,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,,,,Double Murder,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,,,,Amar Akbar Anthony,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,,,,"Mama, I'm Alive",0
0,0,0,0,0,0,0,0,0,0,0,0,16,2,13,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,,,,The Hobbit,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,,,,Prey,0
3,1,3,0,0,0,3,1,3,0,0,0,0,1,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.0,1700000.0,,,3 Women,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,91.0,3000000.0,9400000.0,6400000.0,First Love,0
8,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136.0,2500000.0,22500000.0,20000000.0,Looking for Mr. Goodbar,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,,,,Rabid,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,,,,The Picture Show Man,0
10,3,10,1,2,1,10,3,10,1,2,1,8,3,7,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,97.0,6000000.0,,,The Domino Principle,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,,,,Speedtrap,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.0,,,,The Report,0
4,0,1,0,0,0,3,1,3,0,0,0,2,1,4,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93.0,,,,The Late Show,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,,,,Rembrandt fecit 1669,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,,,,The Ascent,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,,,,The Iron-Fisted Monk,0
1,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135.0,6000000.0,,,The Eagle Has Landed,0
0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,1,1,2,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,146.0,6200000.0,4500000.0,-1700000.0,Twilight's Last Gleaming,0
0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,2,0,4,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130.0,9000000.0,16320000.0,7320000.0,MacArthur,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96.0,4300000.0,300000000.0,295700000.0,Smokey and the Bandit,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,350000.0,25000000.0,24650000.0,The Hills Have Eyes,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,,,,Mimino,0
2,0,1,0,0,0,2,0,1,0,0,0,9,3,14,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,102.0,14000000.0,30700000.0,16700000.0,Exorcist II: The Heretic,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98.0,,,,The Car,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Grayeagle,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,,,,The Humpbacked Horse,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.0,,,,Golden Rendezvous,0
0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,1,0,0,0,4,2,5,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,124.0,9000000.0,47300000.0,38300000.0,The Deep,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,,,,Cinderella,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,100.0,1900000.0,,,The Disappearance,0
2,7,2,0,0,0,0,0,0,0,0,0,6,10,6,1,5,0,3,1,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,121.0,3800000.0,23700000.0,19900000.0,Network,0
0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,1250000000000.0,,,Andy Warhol's Bad,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,,,,Мъжки времена Mazhki vremena ( Manly Times ),0
1,0,1,0,0,0,1,0,1,0,0,0,4,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,124.0,,9300000.0,,Bobby Deerfield,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,,,,Halloween with the New Addams Family,0
2,0,1,0,0,0,2,0,1,0,0,0,3,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,4800000.0,21000000.0,16200000.0,The World's Greatest Lover,0
0,1,1,0,0,0,0,0,0,0,0,0,3,2,6,2,1,3,0,0,0,0,0,0,4,0,5,2,0,1,4,0,2,1,0,2,0,0,0,0,0,0,1,113.0,7000000.0,,,The Prince and the Pauper,0
2,6,7,1,1,2,0,0,0,0,0,0,3,6,16,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135.0,,,,A Piece of the Action,0
1,0,2,0,0,1,1,0,0,1,0,0,1,2,3,0,0,3,0,0,0,0,0,0,4,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,6000000.0,,,The White Buffalo,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,100.0,1900000.0,,,Outlaw Blues,0
0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,99.0,6000000.0,,,The Island of Dr. Moreau,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.0,,,,The Hunters,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,,,,Wounded Game,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,250000.0,,,Martin,0
2,1,0,1,1,0,0,0,0,0,0,0,5,4,11,0,1,5,0,0,0,0,0,0,11,0,5,1,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,122.0,,28000000.0,,Slap Shot,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0,,,,The Last Wave,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,,,Pafnucio Santo,0
0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,1,0,5,0,0,0,0,0,0,5,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,99.0,4500000.0,13600000.0,9100000.0,Fun with Dick and Jane,0
0,4,4,0,1,4,0,0,1,0,0,0,22,24,28,4,8,10,1,1,1,1,1,0,2,1,0,1,0,0,3,5,0,1,3,0,0,3,0,0,0,0,0,176.0,25000000.0,50700000.0,25700000.0,A Bridge Too Far,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,602000.0,15000000.0,14398000.0,Grand Theft Auto,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,,,,Což takhle dát si špenát,0
0,0,0,0,0,0,0,0,0,0,0,0,20,7,26,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,113.0,6000000.0,30000000.0,24000000.0,Airport '77,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98.0,5000000.0,815000.0,-4185000.0,Handle with Care,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,,,,Sweeney!,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,1,113.0,3500000.0,20000000.0,16500000.0,Sinbad and the Eye of the Tiger,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,,,,Tomorrow I'll Wake Up and Scald Myself with Tea,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.0,,,,Roseland,0
0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,106.0,,,,A Special Day,1
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,,7200000.0,,The Man Who Loved Women,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.0,,,,The Pack,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Executioners from Shaolin,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.0,600000.0,,,The Grateful Dead Movie,0
0,0,0,0,0,0,0,0,0,0,0,0,9,3,10,4,0,3,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.0,10000000.0,36000000.0,26000000.0,Pete's Dragon,1
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,103.0,,,,Jubilee,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,3,1,0,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.0,,,,Telefon,0
0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.0,14000000.0,16400000.0,2400000.0,"New York, New York",0
