name,nom,won
The Adventures Of Robinson Crusoe (Las Aventuras De Robinson Crusoe),[1955],[]
The Caine Mutiny,[1955 1955],[]
Executive Suite,[1955 1955],[]
Gate Of Hell (Jigokumon),[1955],[]
How To Marry A Millionaire,[1955],[]
The Moon Is Blue,[1955],[]
On the Waterfront,[1955 1955],[]
"Bread, Love And Dreams (Pane, Amore E Fantasia)",[1955 1955],[]
Rear Window,[1955],[]
Riot In Cell Block 11,[1955 1955],[]
Seven Brides For Seven Brothers,[1955],[]
Neville Brand,[1955],[]
José Ferrer,[1955],[]
James Stewart,[1955 1960],[]
Cornell Borchers,[1955],[1955]
Grace Kelly,[1955 1956],[]
Gina Lollobrigida,[1955],[]
David Kossoff,[1955 1956],[1955]
Maggie McNamara,[1955],[]
Eva Marie Saint,[1955 1958],[]
Time Out Of War,[1955 1955],[1955]
Axel Petersen (Doderhultarn),[1955],[]
The Origin Of Coal (Coal Mining As A Craft Part 1),[1955],[]
Powered Flight: The Story of the Century,[1955],[]
The Living Desert,[1955],[]
The Drawings Of Leonardo Da Vinci,[1955],[]
Blinkity Blank,[1956],[1956]
Animal Farm,[1956],[]
Down A Long Way,[1956],[]
Fudget's Budget,[1956],[]
The Lady And The Tramp,[1956],[]
Magoo Express,[1956],[]
Alfie Bass,[1956],[]
Alec Guinness,[1956 1958 1960 1961 1989],[1958 1989]
Michael Redgrave,[1956 1958],[]
Katie Johnson,[1956],[1956]
Margaret Johnson,[1956],[]
Deborah Kerr,[1956 1958 1962 1965 1991],[1991]
Margaret Lockwood,[1956],[]
Richard III,[1956 1956 1956],[1956 1956 1956]
The Colditz Story,[1956 1956],[]
The Dambusters,[1956 1956 1956],[]
The Ladykillers,[1956 1956 1956 1956],[1956 1956]
The Night My Number Came Up,[1956 1956 1956 1956],[]
The Prisoner,[1956 1956 1956 1956 1956],[]
Simba,[1956 1956 1956 1956],[]
The Constant Husband,[1956],[]
The Deep Blue Sea,[1956 1956],[]
Doctor At Sea,[1956],[]
Touch And Go,[1956 1956],[]
The Vanishing Prairie,[1956],[1956]
Gold,[1956 1975],[]
Miner's Window,[1956],[]
The Rival World,[1956],[]
Bad Day At Black Rock,[1956 1956],[]
Carmen Jones,[1956 1956],[]
East Of Eden,[1956 1956 1956],[]
Marty,[1956 1956 1956],[1956 1956]
Seven Samurai,[1956],[]
The  Road (La Strada),[1956],[]
Summer Madness,[1956 1956],[]
Ernest Borgnine,[1956],[1956]
James Dean,[1956 1957],[]
Jack Lemmon,[1956 1960 1961 1964 1966 1980 1983],[1960 1961 1980]
Toshiro Mifune,[1956],[]
Takashi Shimura,[1956 1960],[]
Frank Sinatra,[1956 1957],[]
Betsy Blair,[1956],[1956]
Dorothy Dandridge,[1956],[]
Judy Garland,[1956],[]
Julie Harris,[1956 1965 1966 1967 1968 1977],[1967]
Giulietta Masina,[1956 1959],[]
Marilyn Monroe,[1956 1958],[]
Paul Scofield,[1956 1968 1995],[1956 1968]
Jo Van Fleet,[1956],[]
The Bespoke Overcoat,[1956 1956],[1956]
Mr Mensah Builds A House,[1956],[]
The Steps Of Age,[1956],[]
Children of Hiroshima (Gembaku No Ko),[1956],[1956]
Escapade,[1956],[]
Gerald McBoing Boing On Planet Moo,[1957],[1957]
Calling All Salesmen,[1957],[]
Christopher Crumpet's Playmate,[1957],[]
History Of The Cinema,[1957],[]
The Invisible Moustache Of Raoul Dufy,[1957],[]
Love And The Zeppelin,[1957],[]
Rythmetic,[1957],[]
Peter Finch,[1957 1958 1960 1961 1962 1972 1978],[1957 1961 1962 1972 1978]
Virginia McKenna,[1957 1959],[1957]
Dorothy Allison,[1957],[]
Reach For The Sky,[1957 1957 1957 1957 1957 1963],[1957 1963]
The Battle Of The River Plate,[1957 1957],[]
The Man Who Never Was,[1957 1957 1957 1957],[1957]
A Town Like Alice,[1957 1957 1957 1957 1957],[1957 1957]
Yield To The Night,[1957 1957 1957],[]
The Battle Of the River Plate,[1957],[]
The Green Man,[1957],[]
Private's Progress,[1957],[]
Smiley,[1957],[]
Three Men In A Boat,[1957],[]
On The Bowery,[1957],[1957]
Foothold In Antarctica,[1957],[]
Generator 4,[1957],[]
The Silent World (Le Monde Du Silence),[1957],[]
Under The Same Sky,[1957 1957],[]
Gervaise,[1957 1957 1957],[1957 1957]
Friends For Life (Amici Per La Pelle),[1957],[]
Baby Doll,[1957 1957 1957 1957],[1957]
The Unfrocked One (Le Défroqué),[1957],[]
The Grasshopper (Poprigunya),[1957],[]
Guys And Dolls,[1957 1957],[]
The Killing,[1957],[]
The Man With The Golden Arm,[1957 1957],[]
Picnic,[1957 1957 1957 1957],[]
Rebel Without A Cause,[1957 1957],[]
The Shadow,[1957],[]
Smiles Of A Summer Night (Sommarnattens Leende),[1957 1957 1957],[]
The Trouble With Harry,[1957 1957],[]
War And Peace,[1957 1957 1970],[]
François Périer,[1957],[1957]
Gunnar Björnstrand,[1957],[]
William Holden,[1957 1978],[]
Karl Malden,[1957],[]
Anna Magnani,[1957 1959],[1957]
Carroll Baker,[1957],[]
Eva Dahlbeck,[1957],[]
Ava Gardner,[1957 1960 1965],[]
Susan Hayward,[1957 1960],[]
Shirley MacLaine,[1957 1960 1961 1965 1981 1985 1991 1991],[1960 1961]
Kim Novak,[1957],[]
Marisa Pavan,[1957],[]
Jean Simmons,[1957 1961],[]
Eli Wallach,[1957],[1957]
Stephen Boyd,[1957],[]
Don Murray,[1957],[]
Susan Strasberg,[1957],[]
Elizabeth Wilson,[1957],[]
The Red Balloon (Le Ballon Rouge),[1957],[1957]
Man In Space,[1957],[]
On The Twelfth Day,[1957],[]
Underwater Symphony,[1957],[]
The Door In The Wall,[1957],[]
Race For Life,[1957],[1957]
To Your Health,[1957],[]
The Great Locomotive Chase,[1957],[]
Pacific Destiny,[1957],[]
Pan-Tele-Tron,[1958],[1958]
The Shepherdess And The Chimneysweep (La Bergère Et Le Ramoneur),[1958],[]
Earth Is A Battlefield,[1958],[]
The Magic Fluke,[1958],[]
Heather Sears,[1958],[1958]
Sylvia Syms,[1958 1960 1975],[]
The Bridge On The River Kwai,[1958 1958 1958 1958],[1958 1958 1958 1958]
The Prince And The Showgirl,[1958 1958 1958 1958 1958],[]
The Shiralee,[1958 1958],[]
Windom's Way,[1958 1958 1958 1958],[]
Anastasia,[1958],[]
The Birthday Present,[1958],[]
Hell Drivers,[1958],[]
The Man In The Sky,[1958],[]
The Smallest Show On Earth,[1958],[]
The Story Of Esther Costello,[1958 1958],[1958]
Woman In A Dressing Gown,[1958 1958],[]
Journey Into Spring,[1958],[1958]
City Of Gold,[1958],[]
Every Day Except Christmas,[1958],[]
Holiday,[1958],[]
The USA In The Thirties,[1958],[]
The Bachelor Party,[1958],[]
A Man Escaped (Un Condamné A Mort S'Est Echappé),[1958],[]
"Heaven Knows, Mr Allison",[1958 1958],[]
He Who Must Die (Celui Qui Doit Mourir),[1958],[]
A Man Is Ten Feet Tall,[1958 1958],[]
Pather Panchali,[1958],[]
Paths Of Glory,[1958],[]
The Gates Of Paris (Porte Des Lilas),[1958 1958],[]
That Night,[1958 1958],[]
3.10 To Yuma,[1958],[]
The Tin Star,[1958],[]
Twelve Angry Men,[1958 1958],[1958]
Henry Fonda,[1958 1983],[1958]
Richard Basehart,[1958],[]
Pierre Brasseur,[1958],[]
Tony Curtis,[1958 1959],[]
Jean Gabin,[1958 1960],[]
Robert Mitchum,[1958],[]
Sidney Poitier,[1958 1959 1962 1965 1967 1968 2016],[1959 2016]
Ed Wynn,[1958],[]
Augusta Dabney,[1958],[]
Lili Palmer,[1958],[]
Joanne Woodward,[1958 1959 1969 1975],[1975]
Eric Barker,[1958],[1958]
Mylene Demongeot,[1958],[]
Elvi Hale,[1958],[]
James McArthur,[1958],[]
Keith Michell,[1958],[]
A Chairy Tale,[1958],[1958]
Introducing Telex,[1958],[]
Successful Instruction,[1958],[]
The Happy Road (La Route Joyeuse),[1958],[1958]
Like Paradise,[1958],[]
Out,[1958],[]
The Little Island,[1959],[1959]
The Juggler Of Our Lady,[1959],[]
The Blackbird (Le Merle),[1959],[]
Michael Craig,[1959],[]
Laurence Harvey,[1959 1960],[]
IS Johar,[1959],[]
Anthony Quayle,[1959],[]
Terry Thomas,[1959],[]
Irene Worth,[1959],[1959]
Hermione Baddeley,[1959],[]
Karuna Banerjee,[1959],[]
Room At The Top,[1959 1959 1959 1959 1959 1959 1959],[1959 1959 1959]
Ice Cold In Alex,[1959 1959 1959 1959],[]
Indiscreet,[1959 1959 1959],[]
Orders To Kill,[1959 1959 1959 1959],[1959 1959]
Sea Of Sand,[1959 1959 1959],[]
Orders to Kill,[1959],[1959]
Bonjour Tristesse,[1959],[]
A Cry From The Streets,[1959],[]
The Inn of the Sixth Happiness,[1959],[]
The Key,[1959 1959],[1959]
The Man Upstairs,[1959],[]
A Night To Remember,[1959],[]
Violent Playground,[1959],[]
Glass (Glas),[1959],[1959]
The Forerunner,[1959],[]
Jabulani Afrika,[1959],[]
LS Lowry,[1959],[]
Secrets Of The Reef,[1959],[]
Wonders Of Chicago,[1959],[]
Cabiria (Le Notti Di Cabiria),[1959 1959],[]
Cat On A Hot Tin Roof,[1959 1959],[]
The Cranes Are Flying (Letyat Zhuravli),[1959 1959],[]
The Defiant Ones,[1959 1959 1959 1959],[1959 1959]
No Down Payment,[1959 1959],[]
The Sheepman,[1959 1959],[]
The Unvanquished (Aparajito),[1959 1959],[]
Wild Strawberries (Smultronstället),[1959 1959],[]
The Young Lions,[1959 1959],[]
Glenn Ford,[1959],[]
Curt Jurgens,[1959],[]
Charles Laughton,[1959 1963],[]
Paul Newman,[1959 1962 1964 1971],[1962]
Victor Sjostrom,[1959],[]
Ingrid Bergman,[1959 1975],[1975]
Tatyana Samojlova,[1959],[]
Elizabeth Taylor,[1959 1967 1968],[1967]
Paul Massie,[1959],[1959]
Red Buttons,[1959],[]
Teresa Izewska,[1959],[]
Mary Peach,[1959],[]
Ronald Radd,[1959],[]
Maggie Smith,[1959 1966 1970 1979 1980 1982 1985 1987 1989 1993 1994 1996 2016],[1970 1985 1987 1989 1993 1996]
Gwen Vernon,[1959],[]
The Children's Film Foundation,[1959 1980],[1959 1980]
People Like Maria,[1959],[]
The Unknown Soldier (Tuntematon Sotilas),[1959],[]
The Violinist,[1960],[1960]
Beep Peep,[1960],[]
Dom,[1960],[]
Short And Suite,[1960],[]
Peter Sellers,[1960 1963 1965 1981],[1960]
Stanley Baker,[1960],[]
Richard Burton,[1960 1967 1968],[1967]
Gordon Jackson,[1960],[]
Peggy Ashcroft,[1960 1970 1986 1990],[1986]
Wendy Hiller,[1960 1961],[]
Kay Walsh,[1960],[]
Sapphire,[1960 1960 1960 1960],[1960]
Look Back In Anger,[1960 1960 1960 1960],[]
North West Frontier,[1960 1960 1960],[]
Tiger Bay,[1960 1960 1960 1960],[1960]
Yesterday's Enemy,[1960 1960 1960 1960],[]
"I'm All Right, Jack",[1960 1960],[1960]
Blind Date,[1960],[]
Expresso Bongo,[1960 1960],[]
The Horse's Mouth,[1960 1960],[]
No Trees In The Street,[1960 1960],[]
Ben Hur,[1960],[1960]
Anatomy Of A Murder,[1960 1960 1960],[]
The Face (Ansiktet),[1960],[]
The Big Country,[1960],[]
Compulsion,[1960],[]
Gigi,[1960],[]
Maigret Sets A Trap (Maigret Tend Un Piège),[1960 1960 1960],[]
The Nun's Story,[1960 1960 1960 1960 1960],[1960]
Ashes And Diamonds (Popiól I Diament),[1960 1960],[]
Some Like It Hot,[1960 1960],[1960]
Zbigniew Cybulski,[1960],[]
Jean Desailly,[1960],[]
Ella Lambetti,[1960],[]
Rosalind Russell,[1960],[]
Hayley Mills,[1960 1961 1962],[1960]
Gerry Duggan,[1960],[]
Liz Fraser,[1960],[]
Joseph N Welch,[1960],[]
The Savage Eye,[1960],[1960]
This Is The BBC,[1960 1960],[1960]
We Are The Lambeth Boys,[1960],[]
White Wilderness,[1960],[]
Seven Cities of Antarctica,[1960],[1960]
Rodin,[1960],[]
Coupe Des Alpes: The Story Of The 1958 Alpine Rally,[1960],[]
Hazard,[1960],[]
"High Speed Flight Parts I, II And III",[1960],[]
Tribute To Fangio,[1960],[]
On The Beach,[1960 1960],[1960]
Universe,[1961],[1961]
The Interview,[1961],[]
Piccolo,[1961],[]
Richard Attenborough,[1961 1963 1965 1970 1978 1983 1983 1983 1988 1988 1994 1994 1995],[1965 1983 1983 1983 1994 1995]
Albert Finney,[1961 1961 1964 1972 1975 1983 1985 2001 2001],[1961 2001]
John Fraser,[1961],[]
Rachel Roberts,[1961 1964 1980],[1961 1964 1980]
Saturday Night And Sunday Morning,[1961 1961 1961 1961 1961 1961],[1961 1961 1961]
The Angry Silence,[1961 1961 1961 1961 1961],[1961]
The Trials Of Oscar Wilde,[1961 1961 1961 1961 1961],[1961]
Tunes Of Glory,[1961 1961 1961 1961 1961],[]
The Day They Robbed The Bank Of England,[1961],[]
The Entertainer,[1961 1961 1961],[]
Hell Is A City,[1961 1961],[]
The League Of Gentlemen,[1961],[]
The Millionairess,[1961],[]
A Touch Of Larceny,[1961],[]
The Apartment,[1961 1961 1961],[1961 1961 1961]
The Adventure (L'Avventura),[1961 1961],[]
The Sweet Life (La Dolce Vita),[1961],[]
Elmer Gantry,[1961 1961 1961],[]
"Hiroshima, My Love (Hiroshima, Mon Amour)",[1961 1961 1961],[1961]
Inherit The Wind,[1961 1961 1961],[]
Let's Make Love,[1961 1961],[]
Never On A Sunday,[1961 1961],[]
Black Orpheus (Orfeu Negro),[1961],[]
The Four Hundred Blows (Les Quatre Cents Coups),[1961 1961],[]
Shadows,[1961 1961 1961 1961],[]
Spartacus,[1961],[]
"The Testament Of Orpheus (Le Testament D'Orphée, ou ne me demandez pas pourquoi!)",[1961],[]
George Hamilton,[1961 1963],[]
Burt Lancaster,[1961 1963 1982 1984],[1963 1982]
Yves Montand,[1961 1988],[]
Pier Angeli,[1961],[]
Melina Mercouri,[1961 1963],[]
Emmanuelle Riva,[1961],[]
Monica Vitti,[1961],[]
Lelia Goldoni,[1961 1976],[]
Jean-Pierre Léaud,[1961],[]
George Peppard,[1961],[]
Joan Plowright,[1961 1978],[]
Anthony Ray,[1961],[]
Billie Whitelaw,[1961 1969 1977 1991],[1969]
Category not awarded this year,"[1961 1963 1964 1964 1966 1967 1967 1968 1968 1969 1970 1972 1973 1973
 1977 1977 1978 1979 1981]","[1961 1963 1964 1964 1966 1967 1967 1968 1968 1969 1970 1972 1973 1973
 1977 1977 1978 1979 1981]"
High Journey,[1961],[1961]
Return To Life,[1961 1961],[]
Seawards The Great Ships,[1961],[]
Dispute,[1961],[1961]
Heroic Days,[1961],[]
Outline Of Detergency,[1961],[]
Night And Fog (Nuit Et Brouillard),[1961],[]
Unseen Enemies,[1961],[]
One Hundred And One Dalmatians,[1962],[1962]
Do It Yourself Cartoon Kit,[1962],[]
For Better...For Worse,[1962],[]
Dirk Bogarde,[1962 1964 1966 1968 1972 1988],[1964 1966 1988]
Dora Bryan,[1962],[1962]
A Taste Of Honey,[1962 1962 1962 1962 1962 1962],[1962 1962 1962 1962]
The Innocents,[1962 1962],[]
The Long And The Short And The Tall,[1962 1962],[]
The Sundowners,[1962 1962 1962],[]
Whistle Down The Wind,[1962 1962 1962 1962],[]
The Day The Earth Caught Fire,[1962],[1962]
Flame In The Streets,[1962],[]
The Guns Of Navarone,[1962],[]
Victim,[1962 1962],[]
Ballad Of A Soldier (Ballada O Soldate),[1962 1962],[1962]
The Hustler,[1962 1962 1962],[1962 1962]
Judgment At Nuremberg,[1962 1962 1962],[]
Rocco And His Brothers (Rocco E I Suoi Fratelli),[1962 1962],[]
The Night Watch (Le Trou),[1962 1962],[]
World Of Apu (Apur Sansar),[1962],[]
Montgomery Clift,[1962],[]
Vladimir Ivashov,[1962],[]
Phillipe Leroy,[1962],[]
Maximilian Schell,[1962],[]
Alberto Sordi,[1962],[]
Sophia Loren,[1962],[1962]
Annie Girardot,[1962],[]
Piper Laurie,[1962],[]
Claudia McNeil,[1962],[]
Jean Seberg,[1962],[]
Rita Tushingham,[1962 1965 1966],[1962]
Anthony Hancock,[1962],[]
Murray Melvin,[1962],[]
Volcano (Les Rendez-vous Du Diable),[1962],[1962]
Terminus,[1962],[1962]
Eyes Of A Child,[1962],[]
Let My People Go,[1962 1962],[1962]
Mr Marsh Comes To School,[1962],[]
O For Oxygen,[1962],[]
The Best Of Enemies,[1962 1962],[]
Take A Giant Step,[1962],[]
The Apple,[1963],[1963]
Four Line Conics,[1963 1963],[1963]
The Travelling Tune,[1963],[]
Peter O'Toole,[1963 1965 1989],[1963]
Alan Bates,[1963 1970 1992],[]
James Mason,[1963 1968],[]
Virginia Maskell,[1963 1969],[]
Janet Munro,[1963],[]
Lawrence Of Arabia,[1963 1963 1963 1963 1963],[1963 1963 1963 1963]
